District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Gudihathnur,20-Jun-21,0.0,23.6,32.4,62.4,82.2,0.0,2.7
Adilabad,Gudihathnur,21-Jun-21,0.3,24.5,33.3,54.2,74.0,0.0,2.8
Adilabad,Gudihathnur,22-Jun-21,0.0,25.6,34.4,49.6,74.5,0.0,2.9
Adilabad,Gudihathnur,23-Jun-21,5.3,23.5,35.1,51.9,95.5,0.0,4.3
Adilabad,Gudihathnur,24-Jun-21,0.0,23.9,30.0,70.0,90.0,0.0,3.6
Adilabad,Gudihathnur,25-Jun-21,0.0,24.1,31.2,67.5,81.7,0.0,2.2
Adilabad,Gudihathnur,26-Jun-21,0.0,24.6,30.6,68.5,82.7,0.2,3.6
Adilabad,Gudihathnur,27-Jun-21,5.4,23.0,33.7,58.3,93.4,0.0,1.3
Adilabad,Gudihathnur,28-Jun-21,40.3,22.5,34.1,60.9,95.5,0.0,2.5
Adilabad,Gudihathnur,29-Jun-21,0.0,25.4,32.0,71.1,98.2,0.0,1.8
Adilabad,Gudihathnur,30-Jun-21,0.0,25.6,34.8,58.3,84.1,0.0,2.0
Adilabad,Ichoda,01-Jun-21,3.2,25.2,37.4,41.5,88.7,0.1,2.0
Adilabad,Ichoda,02-Jun-21,6.9,22.7,37.3,40.5,97.8,0.0,4.6
Adilabad,Ichoda,03-Jun-21,0.3,25.1,34.2,56.7,91.7,0.0,1.5
Adilabad,Ichoda,04-Jun-21,0.0,27.7,33.7,50.7,88.0,0.0,1.8
Adilabad,Ichoda,05-Jun-21,15.5,22.0,32.5,57.0,98.2,0.0,14.3
Adilabad,Ichoda,06-Jun-21,4.3,24.2,33.4,50.6,98.8,0.0,13.3
Adilabad,Ichoda,07-Jun-21,0.0,25.3,36.1,45.9,91.1,0.0,12.9
Adilabad,Ichoda,08-Jun-21,5.9,25.3,33.1,54.3,94.1,0.0,15.1
Adilabad,Ichoda,09-Jun-21,14.3,24.6,33.9,55.3,98.7,0.0,5.6
Adilabad,Ichoda,10-Jun-21,0.0,24.8,32.6,57.1,95.1,0.0,2.3
Adilabad,Ichoda,11-Jun-21,3.8,23.0,32.6,69.7,97.0,0.0,14.5
Adilabad,Ichoda,12-Jun-21,16.4,21.5,31.1,72.0,98.3,0.0,15.7
Adilabad,Ichoda,13-Jun-21,0.0,23.2,29.6,79.2,96.5,0.0,0.1
Adilabad,Ichoda,14-Jun-21,69.5,22.5,33.9,60.9,99.9,0.0,3.8
Adilabad,Ichoda,15-Jun-21,9.1,23.0,32.6,69.1,99.9,0.0,14.5
Adilabad,Ichoda,16-Jun-21,0.0,23.7,33.3,58.8,97.5,0.0,11.1
Adilabad,Ichoda,17-Jun-21,7.9,23.9,32.9,62.6,95.5,0.0,8.1
Adilabad,Ichoda,18-Jun-21,49.4,22.7,30.8,78.8,99.9,0.0,6.4
Adilabad,Ichoda,19-Jun-21,0.0,26.4,32.5,60.6,94.1,0.8,3.0
Adilabad,Ichoda,20-Jun-21,0.0,24.0,32.8,65.4,91.8,0.0,2.7
Adilabad,Ichoda,21-Jun-21,0.0,25.3,33.0,52.1,86.6,0.0,2.8
Adilabad,Ichoda,22-Jun-21,0.3,27.2,34.6,47.9,89.0,0.0,2.9
Adilabad,Ichoda,23-Jun-21,4.6,24.3,34.5,49.6,99.9,0.0,5.7
Adilabad,Ichoda,24-Jun-21,0.0,24.2,31.3,69.2,96.1,0.0,5.0
Adilabad,Ichoda,25-Jun-21,0.9,25.2,32.5,65.8,95.0,0.0,2.2
Adilabad,Ichoda,26-Jun-21,0.9,24.7,31.0,65.2,98.4,0.2,3.6
Adilabad,Ichoda,27-Jun-21,26.1,23.9,34.0,55.9,99.9,0.0,0.1
Adilabad,Ichoda,28-Jun-21,96.1,22.8,33.6,62.7,99.9,0.0,2.5
Adilabad,Ichoda,29-Jun-21,0.3,24.7,32.3,76.4,99.9,0.0,1.8
Adilabad,Ichoda,30-Jun-21,0.0,25.8,34.4,55.7,97.7,0.0,2.0
Adilabad,Inderavelly,01-Jun-21,0.0,25.1,36.3,30.3,74.3,0.1,2.0
Adilabad,Inderavelly,02-Jun-21,36.6,22.7,35.2,36.7,100.0,0.0,2.7
Adilabad,Inderavelly,03-Jun-21,0.0,25.5,33.0,43.2,98.5,0.0,2.7
Adilabad,Inderavelly,04-Jun-21,0.0,26.2,33.0,43.7,62.7,0.0,3.4
Adilabad,Inderavelly,05-Jun-21,20.8,22.1,32.6,57.1,98.5,0.0,2.2
Adilabad,Inderavelly,06-Jun-21,0.0,24.4,33.4,50.8,85.7,0.0,3.3
Adilabad,Inderavelly,07-Jun-21,3.4,25.6,36.2,45.4,82.1,0.0,2.0
Adilabad,Inderavelly,08-Jun-21,0.3,26.0,33.2,54.5,81.9,0.0,2.8
Adilabad,Inderavelly,09-Jun-21,2.9,24.9,34.0,56.0,90.3,0.0,2.9
Adilabad,Inderavelly,10-Jun-21,12.3,24.5,32.8,50.0,91.6,0.0,2.3
Adilabad,Inderavelly,11-Jun-21,3.1,22.0,29.4,73.5,100.0,0.2,3.4
